N,E,D
-0.01949550025165081,0.007340056821703911,0.17994819581508636
-0.01949550025165081,0.007340056821703911,0.17994819581508636
-0.01949550025165081,0.007340056821703911,0.17994819581508636
-0.05193575099110603,0.019494855776429176,0.17963175475597382
-0.05193575099110603,0.019494855776429176,0.17963175475597382
-0.09066835045814514,0.03378710523247719,0.17887359857559204
-0.09066835045814514,0.03378710523247719,0.17887359857559204
-0.09709310531616211,0.03612332418560982,0.1787072718143463
-0.1290431171655655,0.04754650965332985,0.17770549654960632
-0.1669086068868637,0.0605560801923275,0.17613206803798676
-0.1669086068868637,0.0605560801923275,0.17613206803798676
-0.17939136922359467,0.06469010561704636,0.17551854252815247
-0.18560358881950378,0.06671500951051712,0.17519523203372955
